Wavelength,Average,Red,Green,Blue
717.7,2.55,10.2,0,0
718.2,2.55,10.2,0,0
718.8,2.55,12.75,0,0
719.3,2.55,10.2,0,0
719.8,2.55,10.2,0,0
720.4,2.55,7.65,0,0
720.9,2.55,7.65,0,0
721.5,2.55,7.65,0,0
722,2.55,7.65,0,0
722.5,0,5.1,0,0
723.1,0,2.55,0,0
723.6,0,0,0,0
724.2,0,0,0,0
724.7,0,0,0,0
725.2,0,0,0,0
725.8,0,0,0,0
726.3,0,0,0,0
726.9,0,0,0,0
727.4,0,0,0,0
727.9,0,0,0,0
728.5,0,0,0,0
729,0,0,0,0
729.6,0,0,0,0
730.1,0,0,0,0
730.6,0,0,0,0
731.2,0,0,0,0
731.7,0,0,0,0
732.3,0,0,0,0
732.8,0,0,0,0
733.3,0,0,0,0
733.9,0,0,0,0
734.4,0,0,0,0
735,0,0,0,0
735.5,0,0,0,0
736,0,0,0,0
736.6,0,0,0,0
737.1,0,0,0,0
737.7,0,0,0,0
738.2,0,0,0,0
738.7,0,0,0,0
739.3,0,0,0,0
739.8,0,0,0,0
740.4,0,0,0,0
740.9,0,0,0,0
741.4,0,0,0,0
742,0,0,0,0
742.5,0,0,0,0
743.1,0,0,0,0
743.6,0,0,0,0
744.1,0,0,0,0
744.7,0,0,0,0
745.2,0,0,0,0
745.8,0,0,0,0
746.3,0,0,0,0
746.8,0,0,0,0
747.4,0,0,0,0
747.9,0,0,0,0
748.5,0,0,0,0
749,0,0,0,0
749.5,0,0,0,0
750.1,0,0,0,0
750.6,0,0,0,0
751.2,0,0,0,0
751.7,0,0,0,0
752.2,0,0,0,0
752.8,0,0,0,0
753.3,0,0,0,0
753.9,0,0,0,0
754.4,0,0,0,0
754.9,0,0,0,0
755.5,0,0,0,0
756,0,0,0,0
756.6,0,0,0,0
757.1,0,0,0,0
757.6,0,0,0,0
758.2,0,0,0,0
758.7,0,0,0,0
759.3,0,0,0,0
759.8,0,0,0,0
760.3,0,0,0,0
760.9,0,0,0,0
761.4,0,0,0,0
762,0,0,0,0
762.5,0,0,0,0
763,0,0,0,0
763.6,0,0,0,0
764.1,0,0,0,0
764.7,0,0,0,0
765.2,0,0,0,0
765.7,0,0,0,0
766.3,0,0,0,0
766.8,0,0,0,0
767.4,0,0,0,0
767.9,0,0,0,0
768.4,0,0,0,0
769,0,0,0,0
769.5,0,0,0,0
770.1,0,0,0,0
770.6,0,0,0,0
771.1,0,0,0,0
771.7,0,0,0,0
772.2,0,0,0,0
772.8,0,0,0,0
773.3,0,0,0,0
773.8,0,0,0,0
774.4,0,0,0,0
774.9,0,0,0,0
775.5,0,0,0,0
776,0,0,0,0
776.5,0,0,0,0
777.1,0,0,0,0
777.6,0,0,0,0
778.2,0,0,0,0
778.7,0,0,0,0
779.2,0,0,0,0
779.8,0,0,0,0
780.3,0,0,0,0
780.9,0,0,0,0
781.4,0,0,0,0
781.9,0,0,0,0
782.5,0,0,0,0
783,0,0,0,0
783.6,0,0,0,0
784.1,0,0,0,0
784.6,0,0,0,0
785.2,0,0,0,0
785.7,0,0,0,0
786.3,0,0,0,0
786.8,0,0,0,0
787.3,0,0,0,0
787.9,0,0,0,0
788.4,0,0,0,0
789,0,0,0,0
789.5,0,0,0,0
790,0,0,0,0
790.6,0,0,0,0
791.1,0,0,0,0
791.7,0,0,0,0
792.2,0,0,0,0
792.7,0,0,0,0
793.3,0,0,0,0
793.8,0,0,0,0
794.4,0,0,0,0
794.9,0,0,0,0
795.4,0,0,0,0
796,0,0,0,0
796.5,0,0,0,0
797.1,0,0,0,0
797.6,0,0,0,0
798.1,0,0,0,0
798.7,0,0,0,0
799.2,0,0,0,0
799.8,0,0,0,0
800.3,0,0,0,0
800.8,0,0,0,0
801.4,0,0,0,0
801.9,0,0,0,0
802.5,0,0,0,0
803,0,0,0,0
803.5,0,0,0,0
804.1,0,0,0,0
804.6,0,0,0,0
805.2,0,0,0,0
805.7,0,0,0,0
806.2,0,0,0,0
806.8,0,0,0,0
807.3,0,0,0,0
807.9,0,0,0,0
808.4,0,0,0,0
808.9,0,0,0,0
809.5,0,0,0,0
810,0,0,0,0
810.6,0,0,0,0
811.1,0,0,0,0
811.6,0,0,0,0
812.2,0,0,0,0
812.7,0,0,0,0
813.3,0,0,0,0
813.8,0,0,0,0
814.3,0,0,0,0
814.9,0,0,0,0
815.4,0,0,0,0
816,0,0,0,0
816.5,0,0,0,0
817,0,0,0,0
817.6,0,0,0,0
818.1,0,0,0,0
818.7,0,0,0,0
819.2,0,0,0,0
819.7,0,0,0,0
820.3,0,0,0,0
820.8,0,0,0,0
821.4,0,0,0,0
821.9,0,0,0,0
822.4,0,0,0,0
823,0,0,0,0
823.5,0,0,0,0
824.1,0,0,0,0
824.6,0,0,0,0
825.1,0,0,0,0
825.7,0,0,0,0
826.2,0,0,0,0
826.8,0,0,0,0
827.3,0,0,0,0
827.8,0,0,0,0
828.4,0,0,0,0
828.9,0,0,0,0
829.5,0,0,0,0
830,0,0,0,0
830.5,0,0,0,0
831.1,0,0,0,0
831.6,0,0,0,0
832.2,0,0,0,0
832.7,0,0,0,0
833.2,0,0,0,0
833.8,0,0,0,0
834.3,0,0,0,0
834.9,0,0,0,0
835.4,0,0,0,0
835.9,0,0,0,0
836.5,0,0,0,0
837,0,0,0,0
837.6,0,0,0,0
838.1,0,0,0,0
838.6,0,0,0,0
839.2,0,0,0,0
839.7,0,0,0,0
840.3,0,0,0,0
840.8,0,0,0,0
841.3,0,0,0,0
841.9,0,0,0,0
842.4,0,0,0,0
843,0,0,0,0
